TAU,CHIUDERE,DA_VALUTARE,TENERE_APERTE,TOTALE,QUOTA_CHIUSURE_PCT,SPESA_LORDA_BASE_EUR,SPESA_NETTA_BASE_EUR,RISPARMI_CHIUSURE_EUR,COMUNI_DOMANDA_POS,COMUNI_SENZA_SEDE_LOCALE
0.0,8367,912,7491,16770,49.9,25191276129,21996254829,3195021299,5058,486
0.25,6558,1289,8923,16770,39.1,27712967572,25174340053,2538627518,5058,459
0.5,5947,1561,9262,16770,35.5,29191199570,26880835756,2310363814,5058,459
0.75,5188,1900,9682,16770,30.9,30940990891,29060796531,1880194360,5058,458
1.0,4808,2116,9846,16770,28.7,31880644355,30162489537,1718154818,5058,458
1.5,3719,2639,10412,16770,22.2,34339960880,33164814350,1175146530,5058,457
2.0,3205,2894,10671,16770,19.1,35571849634,34626478022,945371611,5058,457
3.0,2532,3216,11022,16770,15.1,37099811624,36365549185,734262439,5058,457
5.0,2156,3427,11187,16770,12.9,38001020567,37414737049,586283518,5058,457
8.0,2079,3475,11216,16770,12.4,38187228969,37633387929,553841039,5058,457
