CONCENTRAZIONE,SOGLIA_DOMANDA,RIFERIMENTO_SUP,CHIUDERE,DA_VALUTARE,TENERE_APERTE,TOTALE_SEDI,QUOTA_CHIUSURE_PCT,SPESA_LORDA_BASE_EUR,SPESA_NETTA_BASE_EUR,RISPARMI_CHIUSURE_BASE_EUR,COMUNI_DOMANDA_POS,COMUNI_SENZA_SEDE_LOCALE,ALUNNI_IN_COMUNI_SENZA_SEDE
True,30,250,7713,1194,7863,16770,46.0,25911043242,22837868020,3073175221,5058,119,7177
True,30,200,7713,1194,7863,16770,46.0,25911043242,22837868020,3073175221,5058,119,7177
True,60,250,8004,1073,7693,16770,47.7,25656642008,22540803817,3115838191,5058,287,27571
True,60,200,8004,1073,7693,16770,47.7,25656642008,22540803817,3115838191,5058,287,27571
True,90,250,8206,979,7585,16770,48.9,25385166228,22230299949,3154866279,5058,394,53354
True,90,200,8206,979,7585,16770,48.9,25385166228,22230299949,3154866279,5058,394,53354
True,120,250,8367,912,7491,16770,49.9,25191276129,21996254829,3195021299,5058,486,82083
True,120,200,8367,912,7491,16770,49.9,25191276129,21996254829,3195021299,5058,486,82083
False,30,250,754,4244,11772,16770,4.5,40126660206,39871962070,254698136,5058,117,6431
False,30,200,754,4244,11772,16770,4.5,40126660206,39871962070,254698136,5058,117,6431
False,60,250,1285,3949,11536,16770,7.7,39527142919,39179489668,347653251,5058,280,25667
False,60,200,1285,3949,11536,16770,7.7,39527142919,39179489668,347653251,5058,280,25667
False,90,250,1697,3698,11375,16770,10.1,38847370272,38412857791,434512480,5058,375,47797
False,90,200,1697,3698,11375,16770,10.1,38847370272,38412857791,434512480,5058,375,47797
False,120,250,2073,3481,11216,16770,12.4,38205521812,37652877142,552644669,5058,457,74475
False,120,200,2073,3481,11216,16770,12.4,38205521812,37652877142,552644669,5058,457,74475
