DATASET,GEO,SEX,WSTATUS,AGE,UNIT,ANNO,VALORE_PCT
edat_lfse_14,IT,T,POP,Y18-24,PC,1992,37.5
edat_lfse_14,IT,T,POP,Y18-24,PC,1993,37.1
edat_lfse_14,IT,T,POP,Y18-24,PC,1994,35.1
edat_lfse_14,IT,T,POP,Y18-24,PC,1995,32.8
edat_lfse_14,IT,T,POP,Y18-24,PC,1996,31.7
edat_lfse_14,IT,T,POP,Y18-24,PC,1997,30.1
edat_lfse_14,IT,T,POP,Y18-24,PC,1998,28.4
edat_lfse_14,IT,T,POP,Y18-24,PC,1999,27.2
edat_lfse_14,IT,T,POP,Y18-24,PC,2000,25.1
edat_lfse_14,IT,T,POP,Y18-24,PC,2001,25.9
edat_lfse_14,IT,T,POP,Y18-24,PC,2002,24.2
edat_lfse_14,IT,T,POP,Y18-24,PC,2003,23.0
edat_lfse_14,IT,T,POP,Y18-24,PC,2004,23.1
edat_lfse_14,IT,T,POP,Y18-24,PC,2005,22.1
edat_lfse_14,IT,T,POP,Y18-24,PC,2006,20.4
edat_lfse_14,IT,T,POP,Y18-24,PC,2007,19.5
edat_lfse_14,IT,T,POP,Y18-24,PC,2008,19.6
edat_lfse_14,IT,T,POP,Y18-24,PC,2009,19.1
edat_lfse_14,IT,T,POP,Y18-24,PC,2010,18.6
edat_lfse_14,IT,T,POP,Y18-24,PC,2011,17.8
edat_lfse_14,IT,T,POP,Y18-24,PC,2012,17.3
edat_lfse_14,IT,T,POP,Y18-24,PC,2013,16.8
edat_lfse_14,IT,T,POP,Y18-24,PC,2014,15.0
edat_lfse_14,IT,T,POP,Y18-24,PC,2015,14.7
edat_lfse_14,IT,T,POP,Y18-24,PC,2016,13.8
edat_lfse_14,IT,T,POP,Y18-24,PC,2017,14.0
edat_lfse_14,IT,T,POP,Y18-24,PC,2018,14.3
edat_lfse_14,IT,T,POP,Y18-24,PC,2019,13.3
edat_lfse_14,IT,T,POP,Y18-24,PC,2020,14.2
edat_lfse_14,IT,T,POP,Y18-24,PC,2021,12.7
edat_lfse_14,IT,T,POP,Y18-24,PC,2022,11.5
edat_lfse_14,IT,T,POP,Y18-24,PC,2023,10.5
edat_lfse_14,IT,T,POP,Y18-24,PC,2024,9.8
edat_lfse_14,IT,T,POP,Y18-24,PC,2025,8.2
