ANNOSCOLASTICO,ANNOCORSO,FASCIAETA,ALUNNI
202425,1,14 anni,428680
202425,1,15 anni,58943
202425,1,16 anni,13974
202425,1,17 anni,3685
202425,1,18 anni,1386
202425,1,< di 14 anni,39667
202425,1,> di 18 anni,7399
202425,2,14 anni,39201
202425,2,15 anni,391131
202425,2,16 anni,57837
202425,2,17 anni,14275
202425,2,18 anni,3647
202425,2,< di 14 anni,6
202425,2,> di 18 anni,7578
202425,3,14 anni,7
202425,3,15 anni,38458
202425,3,16 anni,369432
202425,3,17 anni,60878
202425,3,18 anni,15258
202425,3,> di 18 anni,18131
202425,4,15 anni,13
202425,4,16 anni,38831
202425,4,17 anni,347858
202425,4,18 anni,57407
202425,4,> di 18 anni,36444
202425,5,16 anni,11
202425,5,17 anni,37312
202425,5,18 anni,337316
202425,5,> di 18 anni,81383
202425,6,18 anni,16
202425,6,> di 18 anni,266
