ATENEO,QUOTA_BASE,QUOTA_PREMIALE,PEREQUATIVO,PIANI_STRAORD,FFO_2025,FFO_2024
Bari,119779641,59561494,3550713,15795704,202336091,200332763
Bari Politecnico,32149626,15554427,570376,4221965,53475718,50448791
Basilicata,19448353,11918927,491215,3654889,36042777,35141665
Bergamo,47347965,19795259,1915046,4901436,75392406,74645947
Bologna,263485496,149054611,5636675,34912096,461084368,448748624
Brescia,51757313,26155530,1077949,7444829,88020947,84582415
Cagliari,69904191,39313465,2879590,11039091,125166647,123927373
Calabria,67327516,31458278,1296492,8123782,110196549,108815449
Camerino,24149907,12109001,914163,3421919,41307480,40898495
Cassino,21191751,10314303,425084,2992181,35557895,34081532
Catania,109500326,52018250,3531417,12983199,181412633,179616468
Catanzaro,36062449,13899510,572842,3766034,55460417,53290978
Chieti e Pescara,62695948,30718716,2406093,7800740,105409243,104365587
Ferrara,82227819,35051914,1444597,8710022,130080469,124229157
Firenze,150632389,84971626,3223154,21011525,264444141,253663238
Foggia,37344879,18247875,80407,4605167,61436277,57958752
Genova,104049947,56608851,5362778,15649769,184796745,182967074
Insubria,35367462,16865260,878173,4732469,58873425,58290520
Macerata,24633160,11014799,1812708,3308258,41435175,41024926
Politecnica delle Marche,51709604,26335395,1085362,7427510,88133541,84843097
Messina,85870501,45170087,6683422,10442877,150632590,149141178
Milano,174847496,108385744,4466909,29297195,322155689,317401340
Milano Bicocca,97761962,53868292,2091295,13061474,169744779,162558484
Milano Politecnico,161971151,82145098,3385452,18878729,271716507,258827476
Modena e Reggio Emilia,74184828,43262888,1588307,9465294,130814636,129428641
Molise,22625951,12197440,483615,3652375,39625944,37720715
Napoli Federico II,230917594,131105250,7035994,34080889,410124462,406035347
Campania,84162852,41176366,4552257,11702556,144049495,140574831
Napoli L'Orientale,23803141,10857159,2626498,3241574,41176650,40768960
NAPOLI Parthenope,35548797,16721716,-1624396,4549862,56387235,53195505
Padova,222889528,120932720,4775232,30456010,386154997,367780611
Palermo,135548646,64986833,3872467,15930288,224509162,216307408
Parma,89693163,42324668,1744329,10102541,146636516,143521995
Pavia,85445985,44980720,2143715,11301264,146552404,138256985
Perugia,89396836,41115388,1694491,10807446,145700910,141447872
Piemonte Orientale,43026807,19604312,807954,5346129,70094054,68399788
Pisa,126862553,75386313,2713329,20037076,228819654,222724915
Reggio Calabria,17058126,10453677,576272,3171652,31720759,31406692
Roma La Sapienza,329137534,165781709,13712998,39059534,558324318,534251809
Roma Tor Vergata,100365622,56121136,2148887,13629155,175396715,167743947
Roma Tre,80118694,41794645,1714320,10623727,136700077,130096644
Salento,52450922,25057848,656229,6400786,86220180,81339792
Salerno,92447464,45201020,1862873,10811214,153162280,149071070
Sannio,14371227,7810038,606875,2530082,25723880,25469188
Sassari,41757193,24259706,2304032,6348616,75841110,75090208
Siena,60160168,32949640,10294672,8754091,113705391,112579595
Teramo,17569872,9337110,374986,2965432,30738112,29673699
Torino,202286288,103459239,4263872,25547520,341679744,335011347
Torino Politecnico,115863078,55169574,2663250,13180674,190736538,179940130
Trieste,55862314,31878071,1194290,7862898,98456200,95832379
Tuscia,27653038,14248900,587241,4029409,47326268,45529600
Udine,48731022,28690515,1041914,7318085,87232594,83716106
Urbino Carlo Bo,36902423,14742154,1624407,4426898,58785907,58203868
Venezia Cà Foscari,53039942,29579461,1301141,7963539,93429296,92504253
Venezia Iuav,18251203,7510623,1266344,2515771,30077912,29780111
Verona,70500002,39179557,-1263540,10072744,120641650,113812877
L'Aquila,51061396,24630714,3496534,6679940,87339539,86474791
Foro Italico,10781057,3252040,134026,1377880,15931387,15544082
Stranieri Perugia,11422317,3015135,124263,1250263,16219989,15814365
Stranieri Siena,7757134,3189003,131428,1421076,12785986,12247021
Sissa - TS,17380971,8875184,365773,2174146,29410844,29069215
IMT Lucca,6642532,4245798,174982,1364568,12667170,12397936
IUSS Pavia,9654649,4064474,-119091,1080095,15037761,14186567
Normale Pisa,32157905,10407855,744901,2258048,46720656,46258075
Sant'Anna Pisa,23634988,14545521,599466,2871354,42482654,41487868
GSSI,14372331,5361168,220951,1536025,22022865,21228078
Trento2,10370729,0,0,9340546,21324200,21829330
SSM2,20001000,0,0,681962,21389958,20647591
