ATENEO,AREA,FFO_2025,DELTA_PREM50_EUR,DELTA_PCT
Milano,Nord,322155689,12187421,3.78
Bologna,Nord,461084368,8766136,1.90
Napoli Federico II,Sud,410124462,8016694,1.95
Pisa,Centro,228819654,6627566,2.90
Firenze,Centro,264444141,4818331,1.82
Padova,Nord,386154997,3690544,0.96
Modena e Reggio Emilia,Nord,130814636,3257398,2.49
Roma Tor Vergata,Centro,175396715,2821940,1.61
Udine,Nord,87232594,2386736,2.74
Milano Bicocca,Nord,169744779,2314169,1.36
Cagliari,Isole,125166647,2264543,1.81
Trieste,Nord,98456200,2076719,2.11
Genova,Nord,184796745,2014178,1.09
Sassari,Isole,75841110,1903571,2.51
Verona,Nord,120641650,1870524,1.55
Siena,Centro,113705391,1568804,1.38
Venezia Cà Foscari,Nord,93429296,1549498,1.66
Sant'Anna Pisa,Centro,42482654,1444085,3.40
Basilicata,Sud,36042777,1310088,3.63
Reggio Calabria,Sud,31720759,1152113,3.63
Messina,Isole,150632590,759010,0.50
Pavia,Nord,146552404,550344,0.38
IMT Lucca,Centro,12667170,503875,3.98
Molise,Sud,39625944,377281,0.95
Roma Tre,Centro,136700077,330232,0.24
Sannio,Sud,25723880,298502,1.16
Teramo,Sud,30738112,231431,0.75
Tuscia,Centro,47326268,35497,0.08
Sissa - TS,Nord,29410844,-137863,-0.47
Camerino,Centro,41307480,-196054,-0.47
Politecnica delle Marche,Centro,88133541,-202094,-0.23
Brescia,Nord,88020947,-344585,-0.39
Cassino,Centro,35557895,-385971,-1.09
Torino,Nord,341679744,-463039,-0.14
Stranieri Siena,Centro,12785986,-581577,-4.55
IUSS Pavia,Nord,15037761,-661183,-4.40
Bari Politecnico,Sud,53475718,-663398,-1.24
Foggia,Sud,61436277,-672797,-1.10
Insubria,Nord,58873425,-844096,-1.43
Napoli L'Orientale,Sud,41176650,-847309,-2.06
Chieti e Pescara,Sud,105409243,-918398,-0.87
Macerata,Centro,41435175,-1017350,-2.46
L'Aquila,Sud,87339539,-1017456,-1.16
NAPOLI Parthenope,Sud,56387235,-1155421,-2.05
Venezia Iuav,Nord,30077912,-1221357,-4.06
Milano Politecnico,Nord,271716507,-1260761,-0.46
Campania,Sud,144049495,-1328091,-0.92
Salento,Sud,86220180,-1348257,-1.56
Bari,Sud,202336091,-1413677,-0.70
GSSI,Sud,22022865,-1437081,-6.53
Foro Italico,Centro,15931387,-1570460,-9.86
Salerno,Sud,153162280,-1620123,-1.06
Piemonte Orientale,Nord,70094054,-1682549,-2.40
Stranieri Perugia,Centro,16219989,-1945178,-11.99
Calabria,Sud,110196549,-2061700,-1.87
Parma,Nord,146636516,-2593311,-1.77
Urbino Carlo Bo,Centro,58785907,-2771305,-4.71
Catania,Isole,181412633,-2933646,-1.62
Bergamo,Nord,75392406,-3011722,-3.99
Roma La Sapienza,Centro,558324318,-3102155,-0.56
Catanzaro,Sud,55460417,-3135664,-5.65
Perugia,Centro,145700910,-3211289,-2.20
Palermo,Isole,224509162,-3228727,-1.44
Torino Politecnico,Nord,190736538,-3303734,-1.73
Normale Pisa,Centro,46720656,-4219035,-9.03
Trento2,Nord,21324200,-4806700,-22.54
Ferrara,Nord,130080469,-4945604,-3.80
SSM2,Sud,21389958,-6866514,-32.10
